x,y
-3.469142,-2.194653
-4.598203,-6.928612
0.966440,0.623157
1.286685,-0.117443
-4.301633,-4.202318
-3.302629,0.160721
4.442988,1.625253
-4.536177,-0.903705
0.753175,-0.615444
-0.296602,0.394683
0.533691,2.980491
-2.054253,-2.516021
2.468031,0.689464
-0.350460,-0.341213
-0.465323,-0.608616
-2.049977,-2.178532
-1.339543,-1.769989
-4.747993,5.152097
1.105652,-1.135267
-2.049321,-1.244643
4.654625,1.298928
-2.038103,-1.259701
3.505084,2.298510
3.248432,2.269563
-2.889796,-9.600664
4.243872,1.387561
-1.408738,-1.175633
-2.633661,1.200714
0.198377,-0.058132
-1.954174,-1.814569
1.856799,0.517316
-2.204039,-7.025998
-3.611489,-2.089030
-3.709118,9.524524
1.153559,0.486447
0.099520,-0.197128
-4.131600,-9.901154
1.425201,0.634722
0.693926,-0.014172
-2.301310,-0.583416
1.242808,1.267637
3.554147,6.145719
0.712514,-0.880279
3.964575,0.840947
3.300980,12.336460
-3.393971,-1.332883
-3.571504,-3.882281
0.824490,-0.600606
-1.224414,-5.506074
-0.071269,-1.291898
3.834965,-23.891008
-4.724245,-1.324230
1.416444,0.353925
2.806772,3.795745
2.307687,-0.480168
-3.532562,6.440269
3.091428,-3.826254
1.209795,0.397004
-3.963589,7.547876
2.024233,11.430763
-1.091799,-0.226439
4.545675,0.830345
-1.609302,-0.393590
-2.988491,8.846356
1.313585,-0.495761
4.125551,1.139364
-2.732816,-6.186137
2.095862,-2.051864
0.374479,2.390443
-1.557563,-3.359543
-3.578483,-1.615290
-2.544048,-2.905974
-2.687856,-9.246750
-4.180220,-7.595702
4.091008,2.315772
-3.933788,5.868609
-1.184509,-3.476942
1.520669,0.193537
-3.544224,-6.204824
1.964419,1.603335
-4.831215,-5.873891
-2.256371,4.401562
2.435258,2.103851
-1.229478,0.376336
1.558322,3.017438
-3.535775,-0.584718
-0.042972,-0.118933
1.618263,0.098005
2.601075,2.220417
-4.149436,-4.112291
-1.851808,-4.096770
3.635981,-1.754174
-4.380004,10.637179
-3.481854,3.509348
4.412911,3.309496
3.765161,-1.639020
3.790472,3.296318
1.761246,2.319819
2.938751,3.639478
-3.411629,2.354350
