x,y
4.243514,10.253298
3.596069,-3.084084
1.594981,8.407120
2.776477,8.244011
0.562929,2.204276
3.812391,-4.732257
2.640779,13.297971
0.851801,-0.413482
0.580304,2.792233
1.847522,0.749036
2.915162,3.786391
2.639936,5.643123
4.123945,15.206438
0.491560,1.054344
1.515035,6.108979
3.921722,8.178964
1.977794,2.780159
1.785622,2.988332
3.910682,6.435548
3.748286,-9.365921
1.746142,0.751830
3.611270,5.366611
4.098250,10.607685
0.198326,1.373111
4.482833,11.587632
4.227639,4.523473
1.760888,2.560739
3.938643,9.862672
2.601907,6.621243
1.327599,1.345513
4.251047,-1.988355
0.143809,0.545480
2.809941,-4.474465
2.592563,1.709410
3.808877,-0.434893
1.220558,3.105617
0.408129,3.915261
2.751037,4.254745
3.291756,-0.266363
2.442716,-8.924659
2.885736,4.346293
2.116428,3.468815
1.364070,-0.108993
0.825662,1.344835
0.269528,0.063295
0.571033,4.763911
1.886852,9.586244
0.513548,3.218166
2.190072,9.267503
2.460249,7.232839
