x,y
-12.117244,34.001026
-3.958569,24.129087
-3.508754,1.972261
3.651726,-6.981551
-11.124130,22.899968
-9.137628,8.174005
-9.415195,7.175513
-8.095085,10.225735
-15.899723,6.936855
-5.340906,6.494347
0.465764,2.848173
2.045051,0.466036
-0.758144,2.362657
-12.587985,13.999997
-14.986780,-4.979098
-3.682478,3.646450
3.481501,-14.810421
-10.733919,9.431228
-3.895867,-0.671268
-10.497789,32.355464
2.621643,0.615689
-5.899001,11.456315
-8.173610,14.295809
-4.949708,6.757537
-8.898868,10.732923
-11.638811,35.185121
-9.762866,20.246911
0.662841,2.663218
-10.873567,31.581822
-14.627556,19.011460
-7.793501,9.659810
0.193690,1.156228
-2.449984,4.830960
-9.496755,13.772410
-15.501041,25.714220
-7.682524,11.327327
-6.015131,8.325907
-15.019184,14.981166
4.120026,6.025225
-0.859580,2.090099
4.136836,-3.195331
-7.330644,1.374284
-3.192977,4.985333
-13.472610,9.242669
-13.830270,16.908083
-0.176593,1.119503
-1.106974,3.121631
-15.371142,-7.906960
0.158106,-0.606488
-6.744227,-7.310610
