x,y
9.455694,-27.011489
-1.673652,-14.744903
4.765227,-5.167961
3.669519,1.459395
-11.873637,-3.336968
17.512365,43.746027
10.949819,-3.093519
13.728896,14.612412
1.668874,-20.034867
16.544750,4.220024
2.207509,1.860994
9.696264,9.975590
12.332863,0.162113
-9.631144,26.386136
2.818844,-5.569510
-8.556390,-15.775088
19.234191,-20.141809
9.239602,-6.328447
-19.738077,15.478582
17.985275,15.801494
14.751500,-1.920905
-7.882769,3.048076
7.392991,48.472192
-9.698196,9.067540
-1.966436,2.552977
-14.123801,-3.292286
12.000996,-2.616518
-8.468970,0.624600
14.875660,5.777152
-2.376864,4.231141
15.859285,54.191722
13.492783,9.109254
-17.899305,4.487862
3.455258,2.145596
-6.558511,6.181027
-20.338933,7.281773
-4.221532,7.335507
-22.479146,15.037896
-11.868489,-12.348709
-18.401559,-5.898335
-23.573046,-2.639871
-12.674820,2.362223
1.724738,1.863836
7.548125,-13.274537
-7.291863,11.455855
-6.163770,-15.020486
16.909192,-11.577697
15.412997,8.976053
-21.877232,-12.694464
-6.617768,-6.125523
